playerID,sport,position,start_year,start_age,years_played
Mario Harvey,NFL,3,2006,19,8
Percy Harvin,NFL,2,2006,18,8
Matthew Hatchette,NFL,2,2003,29,1
A.J. Hawk,NFL,3,2006,22,8
Michael Hawkes,NFL,3,2006,29,8
Andrew Hawkins,NFL,2,2006,20,8
Chris Hawkins,NFL,4,2006,20,8
Lavelle Hawkins,NFL,2,2006,20,8
Steve Hawkins,NFL,2,2006,35,8
David Hawthorne,NFL,3,2006,21,8
Aaron Hayden,NFL,4,2012,39,1
D.J. Hayden,NFL,4,2012,22,1
Donald Hayes,NFL,2,2012,37,1
Geno Hayes,NFL,3,2012,25,1
Gerald Hayes,NFL,3,2012,32,1
Mercury Hayes,NFL,2,2012,39,1
Windrell Hayes,NFL,2,2012,36,1
Herb Haygood,NFL,2,2012,35,1
Alex Haynes,NFL,4,2012,30,1
Verron Haynes,NFL,4,2012,33,1
Adam Hayward,NFL,3,2012,28,1
Paul Hazel,NFL,3,2013,23,1
Vidal Hazelton,NFL,2,2013,25,1
Vaughn Hebron,NFL,4,1985,15,12
Junior Hemingway,NFL,2,2012,24,2
Nate Hemsley,NFL,3,2012,38,2
Darrius Heyward-Bey,NFL,2,2007,20,5
Darrell Hill,NFL,2,2001,22,2
Greg Hill,NFL,4,2001,29,2
Jeff Hill,NFL,2,2001,29,2
Kahlil Hill,NFL,2,2001,22,2
LeRoy Hill,NFL,3,2001,19,2
Madre Hill,NFL,4,2001,25,2
Shaun Hill,NFL,1,2001,21,2
Hunter Hillenmeyer,NFL,3,2001,21,2
Ike Hilliard,NFL,2,2001,25,2
Lex Hilliard,NFL,4,2001,17,2
Chris Hogan,NFL,2,2011,23,1
Doug Hogue,NFL,3,2011,22,1
Kelly Holcomb,NFL,1,2011,38,2
Robert Holcombe,NFL,4,2011,36,2
Curtis Holden,NFL,3,2011,32,2
Warrick Holdman,NFL,3,2011,36,2
John Holecek,NFL,3,2011,39,2
Carlyle Holiday,NFL,2,2011,30,2
Joe Holland,NFL,3,2011,23,2
Jonathan Holland,NFL,2,2011,26,2
Jesse Holley,NFL,2,2011,27,2
Corey Holliday,NFL,2,2011,40,2
Marcus Holliday,NFL,4,2011,38,2
Trindon Holliday,NFL,2,2011,25,2
Tony Hollings,NFL,4,2011,30,2
Lamont Hollinquest,NFL,3,2011,41,2
T.J. Hollowell,NFL,3,2011,30,2
Rob Holmberg,NFL,3,2011,40,2
Andre Holmes,NFL,2,2011,23,2
Darick Holmes,NFL,4,2011,40,2
Earl Holmes,NFL,3,2011,38,2
Mike Holmes,NFL,4,2011,22,2
Priest Holmes,NFL,4,2011,38,2
Santonio Holmes,NFL,2,2011,27,2
Glenn Holt,NFL,2,2011,27,2
James Holt,NFL,3,2011,25,2
Torry Holt,NFL,2,2011,35,2
Chris Horn,NFL,2,1984,7,16
Joe Horn,NFL,2,1984,12,16
Tony Horne,NFL,2,1984,8,16
Brock Huard,NFL,1,2000,24,4
Damon Huard,NFL,1,2000,27,4
Ramon Humber,NFL,3,2009,22,5
Deon Humphrey,NFL,3,2009,33,5
James Hundon,NFL,2,1996,25,4
Brice Hunter,NFL,2,1996,22,4
Dameon Hunter,NFL,4,1996,17,4
Earnest Hunter,NFL,4,1996,26,4
