player_ID,sport,position,start_year,start_age,years_played
Keith Closs,NBA,C,1998,33,3
Richard Coffey,NBA,F,1991,30,1
Fred Cofield,NBA,G,1986,19,2
John Coker,NBA,C,1996,46,6
Ben Coleman,NBA,F,1987,26,8
Derrick Coleman,NBA,F,1991,23,15
Norris Coleman,NBA,F,1988,30,1
Bimbo Coles,NBA,G,1991,40,14
Jason Collier,NBA,C,2001,28,5
Doug Collins,NBA,multi,1974,28,8
Jarron Collins,NBA,multi,2002,18,10
Jason Collins,NBA,C,2002,15,13
John Collins,NBA,F,2018,27,1
Mardy Collins,NBA,G,2007,20,4
Sherron Collins,NBA,G,2011,31,1
Kyle Collinsworth,NBA,multi,2018,43,1
Darren Collison,NBA,G,2010,48,9
Sean Colson,NBA,G,2001,58,1
Steve Colter,NBA,G,1985,21,11
Glen Combs,NBA,G,1969,30,7
Leroy Combs,NBA,F,1984,41,1
John Comeaux,NBA,F,1968,38,1
Dallas Comegys,NBA,F,1988,44,2
Jeffrey Congdon,NBA,G,1968,35,5
Pat Connaughton,NBA,G,2016,34,3
Chuck Connors,NBA,multi,1947,24,2
Will Conroy,NBA,G,2007,27,7
Brian Cook,NBA,F,2004,49,9
Daequan Cook,NBA,G,2008,26,6
Omar Cook,NBA,G,2004,56,2
Quinn Cook,NBA,G,2017,26,2
Duane Cooper,NBA,G,1993,29,2
Michael Cooper,NBA,multi,1979,24,12
Wayne Cooper,NBA,multi,1979,14,14
Tom Copa,NBA,C,1992,30,1
Chris Copeland,NBA,F,2013,45,4
Hollis Copeland,NBA,F,1980,52,3
Lanard Copeland,NBA,G,1990,34,3
Ray Corley,NBA,G,1950,26,4
Mel Counts,NBA,multi,1965,37,12
Joe Courtney,NBA,F,1993,45,5
Marcus Cousin,NBA,C,2011,56,1
Robert Covington,NBA,F,2014,22,5
Johnny Cox,NBA,G,1963,22,1
Allen Crabbe,NBA,multi,2014,28,5
Torrey Craig,NBA,multi,2018,30,1
Chris Crawford,NBA,F,1998,48,7
Joe Crawford,NBA,F,2009,30,1
Jim Creighton,NBA,F,1976,30,1
Ron Crevier,NBA,C,1986,21,1
Charlie Criss,NBA,G,1978,32,8
Winston Crite,NBA,F,1988,31,2
Javaris Crittenton,NBA,G,2008,33,2
Bobby Croft,NBA,C,1971,23,1
Geoff Crompton,NBA,C,1979,18,6
Terry Crosby,NBA,G,1980,57,1
Austin Croshere,NBA,F,1998,29,12
Jeff Cross,NBA,F,1986,46,1
Pete Cross,NBA,multi,1971,17,3
John Crotty,NBA,G,1993,47,11
Corey Crowder,NBA,multi,1992,16,4
Pat Cummings,NBA,multi,1980,34,12
Vonteego Cummings,NBA,G,2000,26,3
Jared Cunningham,NBA,G,2013,41,4
Radisav Curcic,NBA,C,1993,29,1
Bill Curley,NBA,F,1995,27,7
Eddy Curry,NBA,C,2002,32,12
JamesOn Curry,NBA,G,2010,59,1
Stephen Curry,NBA,G,2010,49,9
Mike D'Antoni,NBA,G,1974,52,4
Quintin Dailey,NBA,G,1983,36,10
Samuel Dalembert,NBA,C,2002,27,14
Erick Dampier,NBA,C,1997,30,16
Bob Dandridge,NBA,multi,1970,26,13
Antonio Daniels,NBA,G,1998,7,14
Erik Daniels,NBA,F,2005,35,1
Lloyd Daniels,NBA,G,1993,37,6
Mel Daniels,NBA,C,1968,46,10
Sasha Danilovic,NBA,G,1996,24,2
Adrian Dantley,NBA,multi,1977,26,15
Yinka Dare,NBA,C,1995,30,4
Jimmy Darrow,NBA,G,1962,42,1
Luigi Datome,NBA,F,2014,23,2
Jermareo Davidson,NBA,F,2008,29,2
Antonio Davis,NBA,multi,1994,39,13
Baron Davis,NBA,G,2000,42,13
Ben Davis,NBA,F,1997,48,4
Brad Davis,NBA,G,1978,29,15
Charles Davis,NBA,F,1982,14,9
Dale Davis,NBA,multi,1992,36,16
Deyonta Davis,NBA,multi,2017,47,2
Dwight Davis,NBA,F,1973,32,5
Emanual Davis,NBA,G,1997,17,7
Hubert Davis,NBA,G,1993,20,12
Jim Davis,NBA,multi,1968,18,8
Johnny Davis,NBA,G,1977,27,10
Lee Davis,NBA,multi,1969,13,8
Mark Davis,NBA,multi,1989,31,1
Mel Davis,NBA,F,1974,36,4
Mickey Davis,NBA,multi,1972,40,6
Mike Davis,NBA,F,1983,29,1
Terry Davis,NBA,multi,1990,33,12
Walter Davis,NBA,multi,1978,21,15
Darryl Dawkins,NBA,C,1976,9,14
Johnny Dawkins,NBA,G,1987,17,9
Branden Dawson,NBA,F,2016,56,1
Eric Dawson,NBA,F,2012,25,1
Tony Dawson,NBA,F,1991,45,5
Austin Daye,NBA,F,2010,37,6
Greg Deane,NBA,G,1980,44,1
Dave DeBusschere,NBA,multi,1963,39,12
Dewayne Dedmon,NBA,C,2014,20,5
Terry Dehere,NBA,G,1994,25,6
Bryce Dejean-Jones,NBA,G,2016,42,1
Sam Dekker,NBA,F,2016,26,3
Malcolm Delaney,NBA,G,2017,51,2
Bison Dele,NBA,multi,1992,35,8
Carlos Delfino,NBA,G,2005,35,9
Matthew Dellavedova,NBA,G,2014,29,5
Fennis Dembo,NBA,F,1989,59,1
Dell Demps,NBA,G,1994,45,4
Randy Denton,NBA,C,1972,50,6
DeMar DeRozan,NBA,multi,2010,28,9
Derrick Dial,NBA,G,2000,22,5
Boris Diaw,NBA,multi,2004,29,14
Yakhouba Diawara,NBA,multi,2007,56,4
Guillermo Diaz,NBA,G,2008,57,1
Clyde Dickey,NBA,G,1975,39,1
Derrek Dickey,NBA,F,1974,26,5
John Dickson,NBA,C,1968,24,1
Connie Dierking,NBA,multi,1959,42,13
Coby Dietrick,NBA,multi,1971,47,13
Dwaine Dillard,NBA,F,1976,33,1
Byron Dinkins,NBA,G,1990,50,2
