player_ID,sport,position,retire_year,retire_age,years_played
Harold Brown,NBA,2,1947,-4,1
Jabari Brown,NBA,2,2015,34,1
Jaylen Brown,NBA,0,2018,36,2
John Brown,NBA,3,1980,40,7
Kedrick Brown,NBA,2,2005,86,4
Kwame Brown,NBA,3,2013,58,12
Larry Brown,NBA,2,1972,-18,5
Leon Brown,NBA,3,1947,-27,1
Lewis Brown,NBA,1,1981,-11,1
Lorenzo Brown,NBA,2,2018,55,5
Marcus Brown,NBA,2,2000,31,4
Markel Brown,NBA,2,2016,47,2
Mike Brown,NBA,0,1997,29,11
Myron Brown,NBA,2,1992,27,1
P.J. Brown,NBA,0,2008,50,15
Randy Brown,NBA,2,2003,61,12
Raymond Brown,NBA,3,1990,40,1
Rickey Brown,NBA,0,1985,0,5
Roger Brown,NBA,0,1975,46,8
Roger Brown,NBA,1,1980,-15,8
Shannon Brown,NBA,2,2015,36,9
Stan Brown,NBA,3,1952,-8,5
Sterling Brown,NBA,2,2018,88,1
Tierre Brown,NBA,2,2005,38,4
Tony Brown,NBA,0,1992,47,8
Jim Browne,NBA,1,1950,4,2
Stanley Brundy,NBA,3,1990,18,1
Brian Brunkhorst,NBA,3,1969,-24,1
George Bruns,NBA,2,1973,35,1
Rick Brunson,NBA,2,2006,52,9
Nicolas Brussino,NBA,0,2018,40,2
Em Bryant,NBA,2,1972,7,8
Joe Bryant,NBA,0,1983,-14,8
Kobe Bryant,NBA,0,2016,57,20
Mark Bryant,NBA,0,2003,39,15
Thomas Bryant,NBA,1,2018,65,1
Wallace Bryant,NBA,1,1986,49,3
Torgeir Bryn,NBA,1,1990,24,1
George Bucci,NBA,2,1976,38,1
Joe Buckhalter,NBA,3,1963,-13,2
Steve Bucknall,NBA,2,1990,36,1
Cleveland Buckner,NBA,0,1963,25,2
Greg Buckner,NBA,2,2009,21,10
Quinn Buckner,NBA,2,1986,61,10
Dave Budd,NBA,3,1965,-3,5
Chase Budinger,NBA,3,2016,39,7
Walt Budko,NBA,0,1952,-15,4
Jud Buechler,NBA,0,2002,11,12
Rodney Buford,NBA,0,2005,60,6
Matt Bullard,NBA,3,2002,46,12
Reggie Bullock,NBA,0,2018,88,5
Larry Bunce,NBA,1,1969,27,2
Greg Bunch,NBA,3,1979,32,1
Dick Bunt,NBA,2,1953,0,1
Bill Buntin,NBA,0,1966,-7,1
Bill Bunting,NBA,0,1972,-20,3
Ticky Burden,NBA,2,1978,20,3
Pat Burke,NBA,0,2007,16,5
Trey Burke,NBA,2,2017,37,4
Roger Burkman,NBA,2,1982,3,1
Alec Burks,NBA,2,2018,66,7
Antonio Burks,NBA,2,2006,80,2
Kevin Burleson,NBA,2,2006,48,1
Tom Burleson,NBA,1,1981,10,7
Jack Burmaster,NBA,2,1950,5,1
David Burns,NBA,2,1982,11,1
Evers Burns,NBA,3,1994,70,1
Jim Burns,NBA,2,1968,-5,1
Scott Burrell,NBA,0,2001,67,8
Art Burris,NBA,3,1952,13,2
Junior Burrough,NBA,3,1996,28,1
Bob Burrow,NBA,0,1958,-4,2
Ed Burton,NBA,3,1965,15,4
Willie Burton,NBA,0,1999,50,9
