,sport,position,start_year,start_age,years_played
74024,mlb,G_p,2015,23,2.0
74062,mlb,G_p,2014,27,0.0
74627,mlb,G_p,2017,22,2.0
74628,mlb,G_p,2017,22,2.0
74629,mlb,G_p,2017,31,1.0
74630,mlb,G_p,2017,31,1.0
74680,mlb,G_if,2016,30,1.0
74761,mlb,G_of,2014,25,2.0
74762,mlb,G_of,2014,25,2.0
74813,mlb,G_of,2017,28,1.0
75208,mlb,G_of,2016,24,1.0
75224,mlb,G_p,2014,27,0.0
75282,mlb,G_p,2016,22,3.0
75283,mlb,G_p,2016,22,3.0
75284,mlb,G_p,2016,22,3.0
75319,mlb,G_if,2014,27,3.0
75320,mlb,G_if,2014,27,3.0
75321,mlb,G_if,2014,27,3.0
75674,mlb,G_p,2018,23,1.0
75733,mlb,G_p,2015,26,1.0
75734,mlb,G_p,2015,26,1.0
75776,mlb,G_c,2014,25,5.0
75777,mlb,G_c,2014,25,5.0
75778,mlb,G_c,2014,25,5.0
75779,mlb,G_c,2014,25,5.0
75780,mlb,G_c,2014,25,5.0
76137,mlb,G_c,2015,25,4.0
76138,mlb,G_c,2015,25,4.0
76139,mlb,G_c,2015,25,4.0
76140,mlb,G_c,2015,25,4.0
76141,mlb,G_c,2015,25,4.0
76389,mlb,G_p,2015,24,2.0
76390,mlb,G_p,2015,24,2.0
76391,mlb,G_if,2016,25,1.0
76417,mlb,G_of,2017,27,1.0
77632,mlb,G_p,2017,27,1.0
77653,mlb,G_p,2015,26,2.0
77654,mlb,G_p,2015,26,2.0
77720,mlb,G_p,2014,31,1.0
77721,mlb,G_p,2014,31,1.0
78224,mlb,G_of,2014,22,4.0
78225,mlb,G_of,2014,22,4.0
78226,mlb,G_of,2014,22,4.0
78227,mlb,G_of,2014,22,4.0
78540,mlb,G_p,2017,24,1.0
78567,mlb,G_of,2017,24,1.0
78568,mlb,G_of,2017,24,1.0
78569,mlb,G_of,2017,24,1.0
78854,mlb,G_p,2014,28,1.0
79243,mlb,G_p,2016,26,1.0
79319,mlb,G_p,2014,26,4.0
79320,mlb,G_p,2014,26,4.0
79321,mlb,G_p,2014,26,4.0
79322,mlb,G_p,2014,26,4.0
79323,mlb,G_p,2014,26,4.0
79399,mlb,G_if,2016,24,1.0
79918,mlb,G_p,2017,26,1.0
79919,mlb,G_p,2017,26,1.0
79920,mlb,G_p,2017,26,1.0
79991,mlb,G_p,2014,24,4.0
79992,mlb,G_p,2014,24,4.0
79993,mlb,G_p,2014,24,4.0
79994,mlb,G_p,2014,24,4.0
79995,mlb,G_p,2014,24,4.0
79996,mlb,G_p,2014,24,4.0
80195,mlb,G_p,2014,25,3.0
80196,mlb,G_p,2014,25,3.0
80197,mlb,G_p,2014,25,3.0
80198,mlb,G_p,2014,25,3.0
80377,mlb,G_p,2014,25,2.0
80378,mlb,G_p,2014,25,2.0
80379,mlb,G_p,2014,25,2.0
80439,mlb,G_p,2015,27,3.0
80440,mlb,G_p,2015,27,3.0
80441,mlb,G_p,2015,27,3.0
80442,mlb,G_p,2015,27,3.0
80624,mlb,G_p,2015,28,1.0
80775,mlb,G_p,2015,25,1.0
