player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Petri Kontiola\kontipe01,C,1,0,0,0,2008,23,1,2008,23
Petter Granberg\granbpe01,D,0,1,0,0,2014,21,4,2017,24
Petteri Lindbohm\lindbpe02,D,0,1,0,0,2015,21,3,2017,23
Petteri Nokelainen\nokelpe01,C,1,0,0,0,2006,20,7,2012,26
Petteri Nummelin\nummepe01,D,0,1,0,0,2007,34,2,2009,35
Petteri Wirtanen\wirtape01,C,1,0,0,0,2008,21,1,2008,21
Phil Kessel\kesseph01,RW,0,0,0,1,2007,19,11,2017,29
Phil Oreskovic\oreskph01,D,0,1,0,0,2009,22,1,2009,22
Phil Varone\varonph01,C,1,0,0,0,2014,23,4,2017,26
Philip Larsen\larseph01,D,0,1,0,0,2010,20,8,2017,27
Philip McRae\mcraeph01,C,1,0,0,0,2011,20,1,2011,20
Philip Samuelsson\samueph01,D,0,1,0,0,2014,22,3,2016,24
Philippe Boucher\bouchph01,D,0,1,0,0,2006,32,4,2009,35
Philippe Cornet\corneph01,LW,0,0,1,0,2012,21,1,2012,21
Philippe Dupuis\dupuiph01,C,1,0,0,0,2009,23,4,2012,26
Phillip Danault\danauph01,C,1,0,0,0,2015,21,3,2017,23
Phillip Di Giuseppe\digiuph01,LW,0,0,1,0,2016,22,2,2017,23
Pierre Dagenais\dagenpi01,RW,0,0,0,1,2006,27,1,2006,27
Pierre Turgeon\turgepi01,C,1,0,0,0,2006,36,2,2009,37
Pierre-Cedric Labrie\labripi01,LW,0,0,1,0,2012,25,3,2014,27
Pierre-Edouard Bellemare\bellepi01,LW,0,0,1,0,2015,29,3,2017,31
Pierre-Luc Letourneau-Leblond\letoupi01,RW,0,0,0,1,2009,23,6,2014,28
Pierre-Marc Bouchard\bouchpi02,C,1,0,0,0,2006,21,9,2014,29
Pontus Aberg\abergpo01,LW,0,0,1,0,2017,23,1,2017,23
Prestin Ryan\ryanpr01,D,0,1,0,0,2006,25,1,2006,25
Quintin Laing\laingqu01,LW,0,0,1,0,2008,28,3,2010,30
Quinton Howden\howdequ01,C,1,0,0,0,2013,21,5,2017,25
R.J. Umberger\umberrj01,C,1,0,0,0,2006,23,11,2016,33
Radek Bonk\bonkra01,C,1,0,0,0,2006,30,4,2009,33
Radek Dvorak\dvorara01,RW,0,0,0,1,2006,28,9,2014,36
Radek Faksa\faksara01,C,1,0,0,0,2016,22,2,2017,23
Radek Martinek\martira01,D,0,1,0,0,2006,29,9,2014,37
Radek Smolenak\smolera01,LW,0,0,1,0,2009,22,2,2010,23
