player,position,c,d,lw,rw,start_year,start_age,years_played,retire_year,retire_age
Vojtech Polak\polakvo01,LW,0,0,1,0,2006,20,2,2009,21
Vyacheslav Kozlov\kozlovy01,LW,0,0,1,0,2006,33,5,2010,37
Wade Belak\belakwa01,D,0,1,0,0,2006,29,6,2011,34
Wade Brookbank\brookwa01,D,0,1,0,0,2006,28,4,2009,31
Wade Megan\meganwa01,C,1,0,0,0,2017,26,1,2017,26
Wade Redden\reddewa01,D,0,1,0,0,2006,28,8,2013,35
Wade Skolney\skolnwa01,D,0,1,0,0,2006,24,1,2006,24
Warren Peters\peterwa01,C,1,0,0,0,2009,26,4,2012,29
Wayne Primeau\primewa01,C,1,0,0,0,2006,29,5,2010,33
Wayne Simmonds\simmowa01,RW,0,0,0,1,2009,20,9,2017,28
Wes O'Neill\oneilwe01,D,0,1,0,0,2009,22,2,2010,23
Wes Walz\walzwe01,C,1,0,0,0,2006,35,3,2009,37
Will Acton\actonwi01,C,1,0,0,0,2014,26,2,2015,27
William Carrier\carriwi01,LW,0,0,1,0,2017,22,1,2017,22
William Karlsson\karlswi01,C,1,0,0,0,2015,22,3,2017,24
William Nylander\nylanwi01,C,1,0,0,0,2016,19,2,2017,20
Willie Mitchell\mitchwi01,D,0,1,0,0,2006,28,11,2016,38
Wojtek Wolski\wolskwo01,LW,0,0,1,0,2006,19,8,2013,26
Wyatt Smith\smithwy01,C,1,0,0,0,2006,28,3,2009,30
Xavier Ouellet\ouellxa01,D,0,1,0,0,2014,20,4,2017,23
Yan Stastny\stastya01,C,1,0,0,0,2006,23,5,2010,27
Yanic Perreault\perreya01,C,1,0,0,0,2006,34,3,2009,36
Yanick Lehoux\lehouya01,C,1,0,0,0,2006,23,2,2009,24
Yann Sauve\sauveya01,D,0,1,0,0,2011,20,4,2014,23
Yanni Gourde\gourdya01,C,1,0,0,0,2016,24,2,2017,25
Yannick Tremblay\trembya01,D,0,1,0,0,2007,31,1,2009,31
Yannick Weber\weberya01,D,0,1,0,0,2009,20,9,2017,28
Yohann Auvitu\auvityo01,D,0,1,0,0,2017,27,1,2017,27
Zac Dalpe\dalpeza01,C,1,0,0,0,2011,21,7,2017,27
Zac Rinaldo\rinalza01,C,1,0,0,0,2012,21,5,2016,25
Zach Bogosian\bogosza01,D,0,1,0,0,2009,18,9,2017,26
Zach Boychuk\boychza01,C,1,0,0,0,2009,19,7,2015,25
Zach Hamill\hamilza01,C,1,0,0,0,2010,21,3,2012,23
Zach Hyman\hymanza01,C,1,0,0,0,2016,23,2,2017,24
Zach Parise\parisza01,C,1,0,0,0,2006,21,12,2017,32
Zach Redmond\redmoza01,D,0,1,0,0,2013,24,5,2017,28
Zach Sill\sillza01,C,1,0,0,0,2014,25,3,2016,27
Zach Trotman\trotmza01,D,0,1,0,0,2014,23,3,2016,25
Zach Werenski\werenza01,D,0,1,0,0,2017,19,1,2017,19
Zack Fitzgerald\fitzgza01,D,0,1,0,0,2008,22,1,2008,22
Zack Kassian\kassiza01,RW,0,0,0,1,2012,21,6,2017,26
Zack Mitchell\mitchza01,RW,0,0,0,1,2017,24,1,2017,24
Zack Smith\smithza01,C,1,0,0,0,2009,20,9,2017,28
Zack Stortini\stortza01,RW,0,0,0,1,2007,21,6,2012,26
Zbynek Michalek\michazb01,D,0,1,0,0,2006,23,12,2017,34
Zdenek Blatny\blatnzd01,LW,0,0,1,0,2006,25,1,2006,25
Zdeno Chara\charazd01,D,0,1,0,0,2006,28,12,2017,39
Zemgus Girgensons\girgeze01,C,1,0,0,0,2014,20,4,2017,23
Zenon Konopka\konopze01,C,1,0,0,0,2006,25,9,2014,33
Ziggy Palffy\palffzi01,RW,0,0,0,1,2006,33,1,2006,33
