player_ID,sport,position,start_year,start_age,years_played
M.L. Carr,NBA,0,1976,18,10
DeMarre Carroll,NBA,3,2010,35,9
Joe Barry Carroll,NBA,0,1981,23,11
Jimmy Carruth,NBA,0,1997,53,1
Anthony Carter,NBA,2,2000,39,13
George Carter,NBA,0,1968,11,9
Howard Carter,NBA,2,1984,28,2
Reggie Carter,NBA,2,1981,24,2
Ron Carter,NBA,2,1979,38,2
Vince Carter,NBA,0,1999,5,20
Bill Cartwright,NBA,1,1980,30,16
Alex Caruso,NBA,2,2018,30,1
Cornelius Cash,NBA,3,1977,26,1
Omri Casspi,NBA,3,2010,36,9
Harvey Catchings,NBA,0,1975,17,11
Bobby Cattage,NBA,3,1982,23,5
Willie Cauley-Stein,NBA,0,2016,47,3
Duane Causwell,NBA,1,1991,14,11
John Celestand,NBA,2,2000,51,1
Mario Chalmers,NBA,2,2009,50,10
Tom Chambers,NBA,0,1982,36,17
Tyson Chandler,NBA,1,2002,35,17
Don Chaney,NBA,2,1969,28,12
Rex Chapman,NBA,2,1989,26,12
Ken Charles,NBA,2,1974,24,5
Calbert Cheaney,NBA,0,1994,27,13
Maurice Cheeks,NBA,2,1979,11,15
Will Cherry,NBA,2,2015,43,1
Derrick Chievous,NBA,3,1989,22,3
Leroy Chollet,NBA,3,1950,23,2
Jim Chones,NBA,0,1973,27,10
Marquese Chriss,NBA,3,2017,47,2
Doug Christie,NBA,0,1993,5,15
Rakeem Christmas,NBA,3,2016,44,2
Patrick Christopher,NBA,0,2015,55,1
Carlos Clark,NBA,2,1984,40,2
Earl Clark,NBA,3,2010,18,6
Ian Clark,NBA,2,2014,22,5
Jordan Clarkson,NBA,2,2015,45,4
Gian Clavell,NBA,2,2018,40,1
Charles Claxton,NBA,1,1996,53,1
Jim Cleamons,NBA,2,1972,50,9
Nat Clifton,NBA,0,1951,34,8
Keith Closs,NBA,1,1998,33,3
Richard Coffey,NBA,3,1991,30,1
Fred Cofield,NBA,2,1986,19,2
John Coker,NBA,1,1996,46,6
Ben Coleman,NBA,3,1987,26,8
Derrick Coleman,NBA,3,1991,23,15
Norris Coleman,NBA,3,1988,30,1
Bimbo Coles,NBA,2,1991,40,14
Jason Collier,NBA,1,2001,28,5
Doug Collins,NBA,0,1974,28,8
Jarron Collins,NBA,0,2002,18,10
Jason Collins,NBA,1,2002,15,13
John Collins,NBA,3,2018,27,1
Mardy Collins,NBA,2,2007,20,4
Sherron Collins,NBA,2,2011,31,1
Kyle Collinsworth,NBA,0,2018,43,1
Darren Collison,NBA,2,2010,48,9
Sean Colson,NBA,2,2001,58,1
Steve Colter,NBA,2,1985,21,11
Glen Combs,NBA,2,1969,30,7
Leroy Combs,NBA,3,1984,41,1
John Comeaux,NBA,3,1968,38,1
Dallas Comegys,NBA,3,1988,44,2
Jeffrey Congdon,NBA,2,1968,35,5
Pat Connaughton,NBA,2,2016,34,3
Chuck Connors,NBA,0,1947,24,2
Will Conroy,NBA,2,2007,27,7
Brian Cook,NBA,3,2004,49,9
Daequan Cook,NBA,2,2008,26,6
Omar Cook,NBA,2,2004,56,2
