,player_ID,sport,position,retire_year,retire_age,years_played
378,Matt Bonner,NBA,3,2016,20,12
380,Devin Booker,NBA,2,2018,31,3
381,Melvin Booker,NBA,2,1997,13,2
382,Trevor Booker,NBA,3,2018,72,8
383,Josh Boone,NBA,0,2010,34,4
384,Ron Boone,NBA,0,1981,7,13
385,Calvin Booth,NBA,1,2009,72,10
386,Keith Booth,NBA,3,1999,18,2
388,Carlos Boozer,NBA,0,2015,88,13
389,Curtis Borchardt,NBA,1,2005,33,2
390,Jake Bornheimer,NBA,0,1950,26,2
391,Lazaro Borrell,NBA,3,2000,73,1
393,Vince Boryla,NBA,3,1954,1,5
394,Chris Bosh,NBA,0,2016,60,13
395,Jim Bostic,NBA,3,1978,25,1
396,Lawrence Boston,NBA,3,1980,2,1
397,Tom Boswell,NBA,0,1984,59,9
398,Ruben Boumtje-Boumtje,NBA,1,2004,27,3
400,Cal Bowdler,NBA,3,2002,27,3
401,Bruce Bowen,NBA,3,2009,69,13
402,Ryan Bowen,NBA,3,2010,47,11
403,Tommie Bowens,NBA,0,1970,9,3
404,Anthony Bowie,NBA,0,1998,59,10
405,Sam Bowie,NBA,0,1995,22,11
406,Orbie Bowling,NBA,1,1968,25,1
407,Ira Bowman,NBA,2,2002,29,3
408,Nate Bowman,NBA,1,1972,18,6
409,Donnie Boyce,NBA,2,1997,47,2
410,Dennis Boyd,NBA,2,1979,27,1
411,Freddie Boyd,NBA,2,1978,2,6
412,Ken Boyd,NBA,3,1975,53,1
413,Earl Boykins,NBA,2,2012,55,14
415,Winford Boynes,NBA,0,1981,31,3
416,Cedric Bozeman,NBA,2,2007,20,1
417,Steve Bracey,NBA,2,1975,33,3
418,Craig Brackins,NBA,3,2012,53,2
419,Gary Bradds,NBA,3,1971,18,7
421,Alonzo Bradley,NBA,3,1980,39,3
422,Avery Bradley,NBA,2,2018,75,8
423,Bill Bradley,NBA,2,1968,9,1
424,Bill Bradley,NBA,0,1977,20,10
425,Charles Bradley,NBA,2,1984,32,3
426,Dudley Bradley,NBA,0,1989,61,10
429,Michael Bradley,NBA,0,2006,8,5
430,Shawn Bradley,NBA,1,2005,37,12
431,Tony Bradley,NBA,0,2018,48,1
432,Mark Bradtke,NBA,0,1997,21,1
433,Marques Bragg,NBA,3,1996,19,1
434,Torraye Braggs,NBA,3,2005,42,2
435,A.J. Bramlett,NBA,1,2000,21,1
436,Adrian Branch,NBA,0,1990,20,4
437,Elton Brand,NBA,3,2016,91,17
438,Terrell Brandon,NBA,2,2002,44,11
439,Bob Brannum,NBA,0,1955,13,6
440,Brad Branson,NBA,0,1983,52,2
441,Jesse Branson,NBA,3,1968,13,3
442,Jim Brasco,NBA,2,1953,26,1
